date,platform,campaign_name,impressions,clicks,spend,ctr,cpc,conversions,conversion_value,reach
2025-05-27,google,Demo Search Brand,4900,98,97.64,0.02,1.0,2,100.0,
2025-05-27,google,Demo Search Generic,4600,92,92.46,0.02,1.0,2,100.0,
2025-05-27,google,Demo Display Retargeting,5000,100,100.03,0.02,1.0,2,100.0,
2025-05-27,meta,Demo Meta Awareness Q1,4700,94,94.21,0.02,1.0,2,100.0,3995.0
2025-05-27,meta,Demo Meta Awareness Q2,5100,102,101.54,0.02,1.0,2,100.0,4335.0
2025-05-27,meta,Demo Meta Conversion Q1,5000,100,100.5,0.02,1.0,2,100.0,4250.0
2025-05-27,meta,Demo Meta Conversion Q2,4750,95,95.43,0.02,1.0,2,100.0,4038.0
2025-05-28,google,Demo Search Brand,5450,109,108.52,0.02,1.0,2,100.0,
2025-05-28,google,Demo Search Generic,4950,99,98.81,0.02,1.0,2,100.0,
2025-05-28,google,Demo Display Retargeting,5050,101,100.64,0.02,1.0,2,100.0,
2025-05-28,meta,Demo Meta Awareness Q1,5200,104,104.28,0.02,1.0,2,100.0,4420.0
2025-05-28,meta,Demo Meta Awareness Q2,5150,103,102.75,0.02,1.0,2,100.0,4378.0
2025-05-28,meta,Demo Meta Conversion Q1,4550,91,90.8,0.02,1.0,2,100.0,3868.0
2025-05-28,meta,Demo Meta Conversion Q2,5000,100,99.86,0.02,1.0,2,100.0,4250.0
2025-05-29,google,Demo Search Brand,5400,108,108.05,0.02,1.0,2,100.0,
2025-05-29,google,Demo Search Generic,5400,108,107.78,0.02,1.0,2,100.0,
2025-05-29,google,Demo Display Retargeting,4650,93,92.58,0.02,1.0,2,100.0,
2025-05-29,meta,Demo Meta Awareness Q1,4800,96,95.95,0.02,1.0,2,100.0,4080.0
2025-05-29,meta,Demo Meta Awareness Q2,4800,96,95.5,0.02,0.99,2,100.0,4080.0
2025-05-29,meta,Demo Meta Conversion Q1,5400,108,108.32,0.02,1.0,2,100.0,4590.0
2025-05-29,meta,Demo Meta Conversion Q2,5450,109,109.37,0.02,1.0,2,100.0,4632.0
2025-05-30,google,Demo Search Brand,4950,99,98.78,0.02,1.0,2,100.0,
2025-05-30,google,Demo Search Generic,5200,104,103.91,0.02,1.0,2,100.0,
2025-05-30,google,Demo Display Retargeting,4650,93,93.34,0.02,1.0,2,100.0,
2025-05-30,meta,Demo Meta Awareness Q1,5150,103,103.2,0.02,1.0,2,100.0,4378.0
2025-05-30,meta,Demo Meta Awareness Q2,4550,91,90.96,0.02,1.0,2,100.0,3868.0
2025-05-30,meta,Demo Meta Conversion Q1,4600,92,91.57,0.02,1.0,2,100.0,3910.0
2025-05-30,meta,Demo Meta Conversion Q2,4900,98,97.87,0.02,1.0,2,100.0,4165.0
2025-05-31,google,Demo Search Brand,6450,129,128.57,0.02,1.0,3,150.0,
2025-05-31,google,Demo Search Generic,5400,108,108.31,0.02,1.0,2,100.0,
2025-05-31,google,Demo Display Retargeting,5800,116,115.93,0.02,1.0,2,100.0,
2025-05-31,meta,Demo Meta Awareness Q1,6150,123,123.23,0.02,1.0,2,100.0,5228.0
2025-05-31,meta,Demo Meta Awareness Q2,5750,115,115.36,0.02,1.0,2,100.0,4888.0
2025-05-31,meta,Demo Meta Conversion Q1,5400,108,108.17,0.02,1.0,2,100.0,4590.0
2025-05-31,meta,Demo Meta Conversion Q2,6050,121,120.74,0.02,1.0,2,100.0,5142.0
2025-06-01,google,Demo Search Brand,5550,111,110.96,0.02,1.0,2,100.0,
2025-06-01,google,Demo Search Generic,5800,116,115.57,0.02,1.0,2,100.0,
2025-06-01,google,Demo Display Retargeting,6500,130,129.58,0.02,1.0,3,150.0,
2025-06-01,meta,Demo Meta Awareness Q1,6100,122,122.24,0.02,1.0,2,100.0,5185.0
2025-06-01,meta,Demo Meta Awareness Q2,6300,126,125.57,0.02,1.0,3,150.0,5355.0
2025-06-01,meta,Demo Meta Conversion Q1,5600,112,111.81,0.02,1.0,2,100.0,4760.0
2025-06-01,meta,Demo Meta Conversion Q2,6300,126,125.95,0.02,1.0,3,150.0,5355.0
2025-06-02,google,Demo Search Brand,4650,93,93.38,0.02,1.0,2,100.0,
2025-06-02,google,Demo Search Generic,5400,108,107.53,0.02,1.0,2,100.0,
2025-06-02,google,Demo Display Retargeting,5200,104,103.8,0.02,1.0,2,100.0,
2025-06-02,meta,Demo Meta Awareness Q1,5150,103,103.41,0.02,1.0,2,100.0,4378.0
2025-06-02,meta,Demo Meta Awareness Q2,4700,94,94.4,0.02,1.0,2,100.0,3995.0
2025-06-02,meta,Demo Meta Conversion Q1,4950,99,98.63,0.02,1.0,2,100.0,4208.0
2025-06-02,meta,Demo Meta Conversion Q2,4550,91,90.79,0.02,1.0,2,100.0,3868.0
2025-06-03,google,Demo Search Brand,4850,97,96.92,0.02,1.0,2,100.0,
2025-06-03,google,Demo Search Generic,4500,90,90.46,0.02,1.01,2,100.0,
2025-06-03,google,Demo Display Retargeting,4500,90,90.12,0.02,1.0,2,100.0,
2025-06-03,meta,Demo Meta Awareness Q1,4700,94,93.62,0.02,1.0,2,100.0,3995.0
2025-06-03,meta,Demo Meta Awareness Q2,5200,104,103.54,0.02,1.0,2,100.0,4420.0
2025-06-03,meta,Demo Meta Conversion Q1,4750,95,94.67,0.02,1.0,2,100.0,4038.0
2025-06-03,meta,Demo Meta Conversion Q2,5400,108,108.0,0.02,1.0,2,100.0,4590.0
2025-06-04,google,Demo Search Brand,5050,101,101.06,0.02,1.0,2,100.0,
2025-06-04,google,Demo Search Generic,4950,99,98.98,0.02,1.0,2,100.0,
2025-06-04,google,Demo Display Retargeting,4900,98,98.47,0.02,1.0,2,100.0,
2025-06-04,meta,Demo Meta Awareness Q1,4950,99,98.97,0.02,1.0,2,100.0,4208.0
2025-06-04,meta,Demo Meta Awareness Q2,4700,94,94.2,0.02,1.0,2,100.0,3995.0
2025-06-04,meta,Demo Meta Conversion Q1,4900,98,98.37,0.02,1.0,2,100.0,4165.0
2025-06-04,meta,Demo Meta Conversion Q2,4500,90,90.28,0.02,1.0,2,100.0,3825.0
2025-06-05,google,Demo Search Brand,4900,98,98.31,0.02,1.0,2,100.0,
2025-06-05,google,Demo Search Generic,4900,98,97.64,0.02,1.0,2,100.0,
2025-06-05,google,Demo Display Retargeting,4550,91,90.85,0.02,1.0,2,100.0,
2025-06-05,meta,Demo Meta Awareness Q1,5100,102,102.17,0.02,1.0,2,100.0,4335.0
2025-06-05,meta,Demo Meta Awareness Q2,5300,106,105.72,0.02,1.0,2,100.0,4505.0
2025-06-05,meta,Demo Meta Conversion Q1,4700,94,93.82,0.02,1.0,2,100.0,3995.0
2025-06-05,meta,Demo Meta Conversion Q2,4950,99,99.22,0.02,1.0,2,100.0,4208.0
2025-06-06,google,Demo Search Brand,5400,108,108.27,0.02,1.0,2,100.0,
2025-06-06,google,Demo Search Generic,5400,108,107.99,0.02,1.0,2,100.0,
2025-06-06,google,Demo Display Retargeting,4750,95,95.19,0.02,1.0,2,100.0,
2025-06-06,meta,Demo Meta Awareness Q1,4700,94,94.41,0.02,1.0,2,100.0,3995.0
2025-06-06,meta,Demo Meta Awareness Q2,4700,94,94.38,0.02,1.0,2,100.0,3995.0
2025-06-06,meta,Demo Meta Conversion Q1,5100,102,101.78,0.02,1.0,2,100.0,4335.0
2025-06-06,meta,Demo Meta Conversion Q2,5350,107,106.79,0.02,1.0,2,100.0,4548.0
2025-06-07,google,Demo Search Brand,5700,114,113.84,0.02,1.0,2,100.0,
2025-06-07,google,Demo Search Generic,6150,123,123.42,0.02,1.0,2,100.0,
2025-06-07,google,Demo Display Retargeting,6250,125,125.04,0.02,1.0,2,100.0,
2025-06-07,meta,Demo Meta Awareness Q1,5550,111,111.22,0.02,1.0,2,100.0,4718.0
2025-06-07,meta,Demo Meta Awareness Q2,5500,110,110.14,0.02,1.0,2,100.0,4675.0
2025-06-07,meta,Demo Meta Conversion Q1,5500,110,110.13,0.02,1.0,2,100.0,4675.0
2025-06-07,meta,Demo Meta Conversion Q2,5950,119,118.81,0.02,1.0,2,100.0,5058.0
2025-06-08,google,Demo Search Brand,5700,114,114.16,0.02,1.0,2,100.0,
2025-06-08,google,Demo Search Generic,5850,117,116.56,0.02,1.0,2,100.0,
2025-06-08,google,Demo Display Retargeting,6550,131,131.41,0.02,1.0,3,150.0,
2025-06-08,meta,Demo Meta Awareness Q1,5800,116,115.77,0.02,1.0,2,100.0,4930.0
2025-06-08,meta,Demo Meta Awareness Q2,5800,116,115.89,0.02,1.0,2,100.0,4930.0
2025-06-08,meta,Demo Meta Conversion Q1,6300,126,125.77,0.02,1.0,3,150.0,5355.0
2025-06-08,meta,Demo Meta Conversion Q2,6550,131,130.59,0.02,1.0,3,150.0,5568.0
2025-06-09,google,Demo Search Brand,5150,103,102.9,0.02,1.0,2,100.0,
2025-06-09,google,Demo Search Generic,5250,105,105.39,0.02,1.0,2,100.0,
2025-06-09,google,Demo Display Retargeting,4750,95,94.56,0.02,1.0,2,100.0,
2025-06-09,meta,Demo Meta Awareness Q1,4700,94,93.75,0.02,1.0,2,100.0,3995.0
2025-06-09,meta,Demo Meta Awareness Q2,5500,110,109.95,0.02,1.0,2,100.0,4675.0
2025-06-09,meta,Demo Meta Conversion Q1,5450,109,109.31,0.02,1.0,2,100.0,4632.0
2025-06-09,meta,Demo Meta Conversion Q2,4850,97,96.88,0.02,1.0,2,100.0,4122.0
2025-06-10,google,Demo Search Brand,5300,106,106.08,0.02,1.0,2,100.0,
2025-06-10,google,Demo Search Generic,4800,96,95.64,0.02,1.0,2,100.0,
2025-06-10,google,Demo Display Retargeting,4550,91,91.08,0.02,1.0,2,100.0,
2025-06-10,meta,Demo Meta Awareness Q1,5200,104,103.88,0.02,1.0,2,100.0,4420.0
2025-06-10,meta,Demo Meta Awareness Q2,5050,101,100.77,0.02,1.0,2,100.0,4292.0
