date,session_source,session_medium,session_default_channel_group,sessions,total_users,new_users,engaged_sessions,engagement_rate,screen_page_views,average_session_duration
2025-05-26,google,organic,Organic Search,200,170,68,120,0.6,600,90.0
2025-05-26,google,cpc,Paid Search,209,178,71,125,0.6,627,90.0
2025-05-26,(direct),(none),Direct,206,175,70,124,0.6,618,90.0
2025-05-26,facebook.com,social,Organic Social,208,177,71,125,0.6,624,90.0
2025-05-26,newsletter,email,Email,218,185,74,131,0.6,654,90.0
2025-05-27,google,organic,Organic Search,190,162,65,114,0.6,570,90.0
2025-05-27,google,cpc,Paid Search,188,160,64,113,0.6,564,90.0
2025-05-27,(direct),(none),Direct,206,175,70,124,0.6,618,90.0
2025-05-27,facebook.com,social,Organic Social,186,158,63,112,0.6,558,90.0
2025-05-27,newsletter,email,Email,206,175,70,124,0.6,618,90.0
2025-05-28,google,organic,Organic Search,218,185,74,131,0.6,654,90.0
2025-05-28,google,cpc,Paid Search,198,168,67,119,0.6,594,90.0
2025-05-28,(direct),(none),Direct,189,161,64,113,0.6,567,90.0
2025-05-28,facebook.com,social,Organic Social,220,187,75,132,0.6,660,90.0
2025-05-28,newsletter,email,Email,195,166,66,117,0.6,585,90.0
2025-05-29,google,organic,Organic Search,185,157,63,111,0.6,555,90.0
2025-05-29,google,cpc,Paid Search,197,167,67,118,0.6,591,90.0
2025-05-29,(direct),(none),Direct,184,156,62,110,0.6,552,90.0
2025-05-29,facebook.com,social,Organic Social,183,156,62,110,0.6,549,90.0
2025-05-29,newsletter,email,Email,182,155,62,109,0.6,546,90.0
2025-05-30,google,organic,Organic Search,198,168,67,119,0.6,594,90.0
2025-05-30,google,cpc,Paid Search,198,168,67,119,0.6,594,90.0
2025-05-30,(direct),(none),Direct,209,178,71,125,0.6,627,90.0
2025-05-30,facebook.com,social,Organic Social,202,172,69,121,0.6,606,90.0
2025-05-30,newsletter,email,Email,214,182,73,128,0.6,642,90.0
2025-05-31,google,organic,Organic Search,258,219,88,155,0.6,774,90.0
2025-05-31,google,cpc,Paid Search,224,190,76,134,0.6,672,90.0
2025-05-31,(direct),(none),Direct,218,185,74,131,0.6,654,90.0
2025-05-31,facebook.com,social,Organic Social,250,212,85,150,0.6,750,90.0
2025-05-31,newsletter,email,Email,216,184,74,130,0.6,648,90.0
2025-06-01,google,organic,Organic Search,235,200,80,141,0.6,705,90.0
2025-06-01,google,cpc,Paid Search,219,186,74,131,0.6,657,90.0
2025-06-01,(direct),(none),Direct,238,202,81,143,0.6,714,90.0
2025-06-01,facebook.com,social,Organic Social,238,202,81,143,0.6,714,90.0
2025-06-01,newsletter,email,Email,257,218,87,154,0.6,771,90.0
2025-06-02,google,organic,Organic Search,206,175,70,124,0.6,618,90.0
2025-06-02,google,cpc,Paid Search,196,167,67,118,0.6,588,90.0
2025-06-02,(direct),(none),Direct,200,170,68,120,0.6,600,90.0
2025-06-02,facebook.com,social,Organic Social,202,172,69,121,0.6,606,90.0
2025-06-02,newsletter,email,Email,189,161,64,113,0.6,567,90.0
2025-06-03,google,organic,Organic Search,211,179,72,127,0.6,633,90.0
2025-06-03,google,cpc,Paid Search,199,169,68,119,0.6,597,90.0
2025-06-03,(direct),(none),Direct,206,175,70,124,0.6,618,90.0
2025-06-03,facebook.com,social,Organic Social,181,154,62,109,0.6,543,90.0
2025-06-03,newsletter,email,Email,184,156,62,110,0.6,552,90.0
2025-06-04,google,organic,Organic Search,204,173,69,122,0.6,612,90.0
2025-06-04,google,cpc,Paid Search,210,178,71,126,0.6,630,90.0
2025-06-04,(direct),(none),Direct,193,164,66,116,0.6,579,90.0
2025-06-04,facebook.com,social,Organic Social,218,185,74,131,0.6,654,90.0
2025-06-04,newsletter,email,Email,214,182,73,128,0.6,642,90.0
2025-06-05,google,organic,Organic Search,201,171,68,121,0.6,603,90.0
2025-06-05,google,cpc,Paid Search,206,175,70,124,0.6,618,90.0
2025-06-05,(direct),(none),Direct,204,173,69,122,0.6,612,90.0
2025-06-05,facebook.com,social,Organic Social,192,163,65,115,0.6,576,90.0
2025-06-05,newsletter,email,Email,183,156,62,110,0.6,549,90.0
2025-06-06,google,organic,Organic Search,212,180,72,127,0.6,636,90.0
2025-06-06,google,cpc,Paid Search,198,168,67,119,0.6,594,90.0
2025-06-06,(direct),(none),Direct,214,182,73,128,0.6,642,90.0
2025-06-06,facebook.com,social,Organic Social,195,166,66,117,0.6,585,90.0
2025-06-06,newsletter,email,Email,181,154,62,109,0.6,543,90.0
2025-06-07,google,organic,Organic Search,222,189,76,133,0.6,666,90.0
2025-06-07,google,cpc,Paid Search,224,190,76,134,0.6,672,90.0
2025-06-07,(direct),(none),Direct,251,213,85,151,0.6,753,90.0
2025-06-07,facebook.com,social,Organic Social,218,185,74,131,0.6,654,90.0
2025-06-07,newsletter,email,Email,255,217,87,153,0.6,765,90.0
