date,location,bookings,bookings_total,bookings_excl_canceled,participants,revenue,revenue_excl_canceled,google_ads_clicks,google_ads_impressions,google_ads_spend,google_ads_conversions,google_ads_conversion_value,meta_ads_clicks,meta_ads_impressions,meta_ads_spend,meta_ads_conversions,meta_ads_conversion_value
2025-05-27,Northern Sauna Stockholm,6,6,6,16,1309.09,1309.09,48,2417,48.36,1,50.0,65,3258,65.28,1,66.67
2025-05-27,Northern Sauna Helsinki,3,3,3,6,490.91999999999996,490.91999999999996,48,2417,48.36,1,50.0,65,3258,65.28,1,66.67
2025-05-27,Northern Sauna Oslo,3,3,2,8,654.54,490.9,48,2417,48.36,1,50.0,65,3258,65.28,1,66.67
2025-05-27,Northern Sauna Copenhagen,4,4,4,14,1145.4499999999998,1145.4499999999998,48,2417,48.36,1,50.0,65,3258,65.28,1,66.67
2025-05-27,Northern Sauna Gothenburg,3,3,3,8,654.55,654.55,48,2417,48.36,1,50.0,65,3258,65.28,1,66.67
2025-05-27,Northern Sauna Bergen,3,3,3,10,818.17,818.17,48,2417,48.36,1,50.0,65,3258,65.28,1,66.67
2025-05-28,Northern Sauna Stockholm,2,2,2,4,327.28,327.28,52,2575,51.33,1,50.0,66,3317,66.28,1,66.67
2025-05-28,Northern Sauna Oslo,1,1,1,3,245.45,245.45,52,2575,51.33,1,50.0,66,3317,66.28,1,66.67
2025-05-28,Northern Sauna Copenhagen,7,7,7,21,1718.1699999999998,1718.1699999999998,52,2575,51.33,1,50.0,66,3317,66.28,1,66.67
2025-05-28,Northern Sauna Gothenburg,2,2,2,8,654.54,654.54,52,2575,51.33,1,50.0,66,3317,66.28,1,66.67
2025-05-28,Northern Sauna Bergen,2,2,2,5,409.09,409.09,52,2575,51.33,1,50.0,66,3317,66.28,1,66.67
2025-05-29,Northern Sauna Stockholm,2,2,2,7,572.72,572.72,52,2575,51.4,1,50.0,68,3408,68.19,1,66.67
2025-05-29,Northern Sauna Helsinki,2,2,2,9,736.36,736.36,52,2575,51.4,1,50.0,68,3408,68.19,1,66.67
2025-05-29,Northern Sauna Oslo,3,3,3,8,654.54,654.54,52,2575,51.4,1,50.0,68,3408,68.19,1,66.67
2025-05-29,Northern Sauna Copenhagen,6,6,5,17,1390.9099999999999,1145.46,52,2575,51.4,1,50.0,68,3408,68.19,1,66.67
2025-05-29,Northern Sauna Gothenburg,3,3,3,10,818.17,818.17,52,2575,51.4,1,50.0,68,3408,68.19,1,66.67
2025-05-29,Northern Sauna Bergen,2,2,2,4,327.27,327.27,52,2575,51.4,1,50.0,68,3408,68.19,1,66.67
2025-05-30,Northern Sauna Stockholm,4,4,3,11,900.0,572.73,49,2467,49.34,1,50.0,64,3200,63.93,1,66.67
2025-05-30,Northern Sauna Helsinki,4,4,4,11,900.01,900.01,49,2467,49.34,1,50.0,64,3200,63.93,1,66.67
2025-05-30,Northern Sauna Oslo,2,2,2,6,490.90999999999997,490.90999999999997,49,2467,49.34,1,50.0,64,3200,63.93,1,66.67
2025-05-30,Northern Sauna Gothenburg,2,2,2,5,409.09,409.09,49,2467,49.34,1,50.0,64,3200,63.93,1,66.67
2025-05-31,Northern Sauna Stockholm,5,5,4,13,1063.6299999999999,899.99,59,2942,58.8,1,58.33,78,3892,77.92,1,66.67
2025-05-31,Northern Sauna Helsinki,4,4,4,14,1145.44,1145.44,59,2942,58.8,1,58.33,78,3892,77.92,1,66.67
2025-05-31,Northern Sauna Oslo,5,5,5,16,1309.08,1309.08,59,2942,58.8,1,58.33,78,3892,77.92,1,66.67
2025-05-31,Northern Sauna Copenhagen,5,5,5,17,1390.9099999999999,1390.9099999999999,59,2942,58.8,1,58.33,78,3892,77.92,1,66.67
2025-05-31,Northern Sauna Gothenburg,4,4,4,11,899.99,899.99,59,2942,58.8,1,58.33,78,3892,77.92,1,66.67
2025-05-31,Northern Sauna Bergen,3,3,3,8,654.55,654.55,59,2942,58.8,1,58.33,78,3892,77.92,1,66.67
2025-06-01,Northern Sauna Stockholm,8,8,8,22,1800.01,1800.01,60,2975,59.35,1,58.33,81,4050,80.93,2,83.33
2025-06-01,Northern Sauna Helsinki,1,1,1,2,163.64,163.64,60,2975,59.35,1,58.33,81,4050,80.93,2,83.33
2025-06-01,Northern Sauna Oslo,5,5,4,17,1390.8999999999999,1145.4499999999998,60,2975,59.35,1,58.33,81,4050,80.93,2,83.33
2025-06-01,Northern Sauna Copenhagen,3,3,3,9,736.3599999999999,736.3599999999999,60,2975,59.35,1,58.33,81,4050,80.93,2,83.33
