date,location,bookings,bookings_total,bookings_excl_canceled,participants,revenue,revenue_excl_canceled,google_ads_clicks,google_ads_impressions,google_ads_spend,google_ads_conversions,google_ads_conversion_value,meta_ads_clicks,meta_ads_impressions,meta_ads_spend,meta_ads_conversions,meta_ads_conversion_value
2025-05-27,Northern Sauna Stockholm,8,8,7,20,1636.37,1472.73,64,3183,63.68,1,66.67,67,3333,66.67,1,66.67
2025-05-27,Northern Sauna Helsinki,6,6,6,19,1554.55,1554.55,64,3183,63.68,1,66.67,67,3333,66.67,1,66.67
2025-05-27,Northern Sauna Oslo,5,5,4,17,1390.9099999999999,1227.27,64,3183,63.68,1,66.67,67,3333,66.67,1,66.67
2025-05-28,Northern Sauna Stockholm,11,11,11,41,3354.54,3354.54,65,3250,64.75,1,66.67,65,3250,64.93,1,66.67
2025-05-28,Northern Sauna Helsinki,4,4,4,15,1227.27,1227.27,65,3250,64.75,1,66.67,65,3250,64.93,1,66.67
2025-05-28,Northern Sauna Oslo,10,10,10,31,2536.35,2536.35,65,3250,64.75,1,66.67,65,3250,64.93,1,66.67
2025-05-29,Northern Sauna Stockholm,2,2,2,4,327.28,327.28,68,3383,67.88,1,66.67,64,3217,64.38,1,66.67
2025-05-29,Northern Sauna Helsinki,2,2,2,9,736.36,736.36,68,3383,67.88,1,66.67,64,3217,64.38,1,66.67
2025-05-29,Northern Sauna Oslo,8,8,6,20,1636.37,1227.28,68,3383,67.88,1,66.67,64,3217,64.38,1,66.67
2025-05-30,Northern Sauna Stockholm,2,2,2,6,490.90999999999997,490.90999999999997,72,3600,71.83,1,66.67,72,3600,71.93,1,66.67
2025-05-30,Northern Sauna Helsinki,4,4,4,11,899.99,899.99,72,3600,71.83,1,66.67,72,3600,71.93,1,66.67
2025-05-30,Northern Sauna Oslo,4,4,4,10,818.18,818.18,72,3600,71.83,1,66.67,72,3600,71.93,1,66.67
2025-05-31,Northern Sauna Stockholm,6,6,6,15,1227.26,1227.26,79,3967,79.13,1,66.67,78,3900,77.83,1,66.67
2025-05-31,Northern Sauna Helsinki,9,9,8,28,2290.8999999999996,1881.81,79,3967,79.13,1,66.67,78,3900,77.83,1,66.67
2025-05-31,Northern Sauna Oslo,4,4,4,14,1145.46,1145.46,79,3967,79.13,1,66.67,78,3900,77.83,1,66.67
2025-06-01,Northern Sauna Stockholm,2,2,2,9,736.36,736.36,86,4283,85.62,2,100.0,81,4050,81.14,2,83.33
2025-06-01,Northern Sauna Helsinki,10,10,10,40,3272.72,3272.72,86,4283,85.62,2,100.0,81,4050,81.14,2,83.33
2025-06-01,Northern Sauna Oslo,8,8,8,30,2454.54,2454.54,86,4283,85.62,2,100.0,81,4050,81.14,2,83.33
2025-06-02,Northern Sauna Helsinki,4,4,4,13,1063.6299999999999,1063.6299999999999,66,3300,66.26,1,66.67,68,3417,68.24,1,66.67
2025-06-02,Northern Sauna Oslo,4,4,3,10,818.18,572.73,66,3300,66.26,1,66.67,68,3417,68.24,1,66.67
2025-06-03,Northern Sauna Stockholm,5,5,5,15,1227.28,1227.28,71,3550,71.08,1,66.67,68,3400,68.04,1,66.67
2025-06-03,Northern Sauna Helsinki,8,8,7,20,1636.36,1554.54,71,3550,71.08,1,66.67,68,3400,68.04,1,66.67
2025-06-03,Northern Sauna Oslo,6,6,6,15,1227.28,1227.28,71,3550,71.08,1,66.67,68,3400,68.04,1,66.67
