data_date,url,clicks,impressions,avg_position
2025-05-26,/,12,288,2.0
2025-05-26,/booking,12,286,2.4
2025-05-26,/about,11,244,2.8
2025-05-26,/contact,12,248,3.2
2025-05-26,/locations/stockholm,10,190,3.6
2025-05-26,/locations/helsinki,9,172,4.0
2025-05-26,/locations/oslo,9,163,4.4
2025-05-26,/pricing,7,114,4.8
2025-05-26,/membership,7,102,5.2
2025-05-26,/blog,5,74,5.6
2025-05-27,/,12,288,2.0
2025-05-27,/booking,10,243,2.4
2025-05-27,/about,10,213,2.8
2025-05-27,/contact,11,233,3.2
2025-05-27,/locations/stockholm,11,204,3.6
2025-05-27,/locations/helsinki,11,198,4.0
2025-05-27,/locations/oslo,8,141,4.4
2025-05-27,/pricing,7,108,4.8
2025-05-27,/membership,6,99,5.2
2025-05-27,/blog,4,65,5.6
2025-05-28,/,11,278,2.0
2025-05-28,/booking,12,289,2.4
2025-05-28,/about,11,247,2.8
2025-05-28,/contact,10,213,3.2
2025-05-28,/locations/stockholm,11,218,3.6
2025-05-28,/locations/helsinki,9,166,4.0
2025-05-28,/locations/oslo,8,135,4.4
2025-05-28,/pricing,7,117,4.8
2025-05-28,/membership,7,114,5.2
2025-05-28,/blog,5,69,5.6
2025-05-29,/,12,288,2.0
2025-05-29,/booking,11,248,2.4
2025-05-29,/about,12,261,2.8
2025-05-29,/contact,10,210,3.2
2025-05-29,/locations/stockholm,10,183,3.6
2025-05-29,/locations/helsinki,10,180,4.0
2025-05-29,/locations/oslo,9,162,4.4
2025-05-29,/pricing,8,128,4.8
2025-05-29,/membership,6,100,5.2
2025-05-29,/blog,6,86,5.6
2025-05-30,/,11,281,2.0
2025-05-30,/booking,12,273,2.4
2025-05-30,/about,10,227,2.8
2025-05-30,/contact,11,225,3.2
2025-05-30,/locations/stockholm,10,199,3.6
2025-05-30,/locations/helsinki,10,189,4.0
2025-05-30,/locations/oslo,9,148,4.4
2025-05-30,/pricing,7,112,4.8
2025-05-30,/membership,7,113,5.2
2025-05-30,/blog,5,70,5.6
2025-05-31,/,11,277,2.0
2025-05-31,/booking,13,308,2.4
2025-05-31,/about,12,262,2.8
2025-05-31,/contact,12,251,3.2
2025-05-31,/locations/stockholm,10,187,3.6
2025-05-31,/locations/helsinki,8,152,4.0
2025-05-31,/locations/oslo,9,147,4.4
2025-05-31,/pricing,7,115,4.8
2025-05-31,/membership,7,107,5.2
2025-05-31,/blog,5,69,5.6
2025-06-01,/,10,262,2.0
2025-06-01,/booking,12,273,2.4
2025-06-01,/about,11,234,2.8
2025-06-01,/contact,10,208,3.2
2025-06-01,/locations/stockholm,10,189,3.6
2025-06-01,/locations/helsinki,9,165,4.0
2025-06-01,/locations/oslo,9,147,4.4
2025-06-01,/pricing,8,128,4.8
2025-06-01,/membership,6,101,5.2
2025-06-01,/blog,5,77,5.6
2025-06-02,/,11,267,2.0
2025-06-02,/booking,10,239,2.4
2025-06-02,/about,13,282,2.8
2025-06-02,/contact,10,206,3.2
2025-06-02,/locations/stockholm,11,220,3.6
2025-06-02,/locations/helsinki,8,152,4.0
2025-06-02,/locations/oslo,9,158,4.4
2025-06-02,/pricing,8,129,4.8
2025-06-02,/membership,6,99,5.2
2025-06-02,/blog,5,72,5.6
2025-06-03,/,13,333,2.0
2025-06-03,/booking,13,292,2.4
2025-06-03,/about,12,261,2.8
2025-06-03,/contact,12,254,3.2
2025-06-03,/locations/stockholm,9,174,3.6
2025-06-03,/locations/helsinki,10,188,4.0
2025-06-03,/locations/oslo,10,171,4.4
2025-06-03,/pricing,9,143,4.8
2025-06-03,/membership,6,90,5.2
2025-06-03,/blog,5,82,5.6
2025-06-04,/,10,260,2.0
2025-06-04,/booking,13,291,2.4
2025-06-04,/about,12,261,2.8
2025-06-04,/contact,11,222,3.2
2025-06-04,/locations/stockholm,10,191,3.6
2025-06-04,/locations/helsinki,9,161,4.0
2025-06-04,/locations/oslo,8,143,4.4
2025-06-04,/pricing,7,110,4.8
2025-06-04,/membership,6,94,5.2
2025-06-04,/blog,5,75,5.6
2025-06-05,/,12,301,2.0
2025-06-05,/booking,12,281,2.4
2025-06-05,/about,12,267,2.8
2025-06-05,/contact,10,199,3.2
2025-06-05,/locations/stockholm,11,221,3.6
2025-06-05,/locations/helsinki,9,168,4.0
2025-06-05,/locations/oslo,8,136,4.4
2025-06-05,/pricing,7,113,4.8
2025-06-05,/membership,7,109,5.2
2025-06-05,/blog,5,75,5.6
2025-06-06,/,11,278,2.0
2025-06-06,/booking,13,311,2.4
2025-06-06,/about,12,256,2.8
2025-06-06,/contact,11,234,3.2
2025-06-06,/locations/stockholm,10,185,3.6
2025-06-06,/locations/helsinki,9,170,4.0
2025-06-06,/locations/oslo,8,141,4.4
2025-06-06,/pricing,7,115,4.8
2025-06-06,/membership,7,112,5.2
2025-06-06,/blog,4,67,5.6
2025-06-07,/,11,263,2.0
2025-06-07,/booking,11,265,2.4
2025-06-07,/about,12,262,2.8
2025-06-07,/contact,10,213,3.2
2025-06-07,/locations/stockholm,9,182,3.6
2025-06-07,/locations/helsinki,8,152,4.0
2025-06-07,/locations/oslo,10,165,4.4
2025-06-07,/pricing,8,134,4.8
2025-06-07,/membership,7,104,5.2
2025-06-07,/blog,5,80,5.6
2025-06-08,/,13,331,2.0
2025-06-08,/booking,11,256,2.4
2025-06-08,/about,13,272,2.8
2025-06-08,/contact,10,198,3.2
2025-06-08,/locations/stockholm,12,226,3.6
2025-06-08,/locations/helsinki,10,178,4.0
2025-06-08,/locations/oslo,9,162,4.4
2025-06-08,/pricing,8,125,4.8
2025-06-08,/membership,6,97,5.2
2025-06-08,/blog,5,80,5.6
2025-06-09,/,11,285,2.0
2025-06-09,/booking,12,283,2.4
2025-06-09,/about,10,213,2.8
2025-06-09,/contact,12,248,3.2
2025-06-09,/locations/stockholm,9,180,3.6
2025-06-09,/locations/helsinki,10,181,4.0
2025-06-09,/locations/oslo,10,166,4.4
2025-06-09,/pricing,8,132,4.8
2025-06-09,/membership,6,99,5.2
2025-06-09,/blog,5,75,5.6
2025-06-10,/,12,295,2.0
2025-06-10,/booking,10,237,2.4
2025-06-10,/about,12,271,2.8
2025-06-10,/contact,13,256,3.2
2025-06-10,/locations/stockholm,11,213,3.6
