data_date,query,clicks,impressions,avg_position,ctr
2025-05-26,sauna near me,9,173,1.5,0.052
2025-05-26,northern sauna stockholm,9,166,2.0,0.0542
2025-05-26,northern sauna helsinki,9,148,2.5,0.0608
2025-05-26,northern sauna oslo,9,146,3.0,0.0616
2025-05-26,outdoor sauna booking,11,161,3.5,0.0683
2025-05-26,wood-fired sauna,11,141,4.0,0.078
2025-05-26,sauna voucher,9,112,4.5,0.0804
2025-05-26,sauna gift card,9,104,5.0,0.0865
2025-05-26,sauna day pass,7,78,5.5,0.0897
2025-05-26,popup sauna,7,73,6.0,0.0959
2025-05-27,sauna near me,9,183,1.5,0.0492
2025-05-27,northern sauna stockholm,10,180,2.0,0.0556
2025-05-27,northern sauna helsinki,9,151,2.5,0.0596
2025-05-27,northern sauna oslo,11,175,3.0,0.0629
2025-05-27,outdoor sauna booking,9,133,3.5,0.0677
2025-05-27,wood-fired sauna,9,115,4.0,0.0783
2025-05-27,sauna voucher,8,101,4.5,0.0792
2025-05-27,sauna gift card,8,94,5.0,0.0851
2025-05-27,sauna day pass,7,80,5.5,0.0875
2025-05-27,popup sauna,6,68,6.0,0.0882
2025-05-28,sauna near me,11,219,1.5,0.0502
2025-05-28,northern sauna stockholm,11,196,2.0,0.0561
2025-05-28,northern sauna helsinki,10,170,2.5,0.0588
2025-05-28,northern sauna oslo,10,157,3.0,0.0637
2025-05-28,outdoor sauna booking,11,160,3.5,0.0688
2025-05-28,wood-fired sauna,9,123,4.0,0.0732
2025-05-28,sauna voucher,8,104,4.5,0.0769
2025-05-28,sauna gift card,8,99,5.0,0.0808
2025-05-28,sauna day pass,8,84,5.5,0.0952
2025-05-28,popup sauna,7,74,6.0,0.0946
2025-05-29,sauna near me,10,191,1.5,0.0524
2025-05-29,northern sauna stockholm,10,186,2.0,0.0538
2025-05-29,northern sauna helsinki,11,176,2.5,0.0625
2025-05-29,northern sauna oslo,11,165,3.0,0.0667
2025-05-29,outdoor sauna booking,8,121,3.5,0.0661
2025-05-29,wood-fired sauna,11,140,4.0,0.0786
2025-05-29,sauna voucher,8,99,4.5,0.0808
2025-05-29,sauna gift card,7,87,5.0,0.0805
2025-05-29,sauna day pass,8,85,5.5,0.0941
2025-05-29,popup sauna,6,59,6.0,0.1017
2025-05-30,sauna near me,9,178,1.5,0.0506
2025-05-30,northern sauna stockholm,12,210,2.0,0.0571
2025-05-30,northern sauna helsinki,11,177,2.5,0.0621
2025-05-30,northern sauna oslo,11,176,3.0,0.0625
2025-05-30,outdoor sauna booking,9,122,3.5,0.0738
2025-05-30,wood-fired sauna,8,108,4.0,0.0741
2025-05-30,sauna voucher,8,103,4.5,0.0777
2025-05-30,sauna gift card,7,82,5.0,0.0854
2025-05-30,sauna day pass,7,79,5.5,0.0886
2025-05-30,popup sauna,7,74,6.0,0.0946
2025-05-31,sauna near me,10,191,1.5,0.0524
2025-05-31,northern sauna stockholm,11,198,2.0,0.0556
2025-05-31,northern sauna helsinki,11,177,2.5,0.0621
2025-05-31,northern sauna oslo,9,133,3.0,0.0677
2025-05-31,outdoor sauna booking,9,129,3.5,0.0698
2025-05-31,wood-fired sauna,10,130,4.0,0.0769
2025-05-31,sauna voucher,8,97,4.5,0.0825
2025-05-31,sauna gift card,8,94,5.0,0.0851
2025-05-31,sauna day pass,8,84,5.5,0.0952
2025-05-31,popup sauna,6,62,6.0,0.0968
2025-06-01,sauna near me,9,189,1.5,0.0476
2025-06-01,northern sauna stockholm,11,197,2.0,0.0558
2025-06-01,northern sauna helsinki,10,166,2.5,0.0602
2025-06-01,northern sauna oslo,10,156,3.0,0.0641
